date,datatype,value,attributes,station
2009-01-01T00:00:00,AWND,70,",,W,",GHCND:USW00014764
2009-01-01T00:00:00,FMTM,1405,",,X,",GHCND:USW00014764
2009-01-01T00:00:00,PGTM,1401,",,W,",GHCND:USW00014764
2009-01-01T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-01T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-01T00:00:00,SNWD,0,"T,,0,",GHCND:USW00014764
2009-01-01T00:00:00,TMAX,-78,",,0,2400",GHCND:USW00014764
2009-01-01T00:00:00,TMIN,-150,",,0,2400",GHCND:USW00014764
2009-01-01T00:00:00,WDF2,300,",,X,",GHCND:USW00014764
2009-01-01T00:00:00,WDF5,300,",,X,",GHCND:USW00014764
2009-01-01T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-01T00:00:00,WSF2,148,",,X,",GHCND:USW00014764
2009-01-01T00:00:00,WSF5,197,",,X,",GHCND:USW00014764
2009-01-02T00:00:00,AWND,29,",,W,",GHCND:USW00014764
2009-01-02T00:00:00,FMTM,1336,",,X,",GHCND:USW00014764
2009-01-02T00:00:00,PGTM,1327,",,W,",GHCND:USW00014764
2009-01-02T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-02T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-02T00:00:00,SNWD,0,"T,,0,",GHCND:USW00014764
2009-01-02T00:00:00,TMAX,-28,",,0,2400",GHCND:USW00014764
2009-01-02T00:00:00,TMIN,-128,",,0,2400",GHCND:USW00014764
2009-01-02T00:00:00,WDF2,220,",,X,",GHCND:USW00014764
2009-01-02T00:00:00,WDF5,220,",,X,",GHCND:USW00014764
2009-01-02T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-02T00:00:00,WSF2,67,",,X,",GHCND:USW00014764
2009-01-02T00:00:00,WSF5,89,",,X,",GHCND:USW00014764
2009-01-03T00:00:00,AWND,44,",,W,",GHCND:USW00014764
2009-01-03T00:00:00,FMTM,1207,",,X,",GHCND:USW00014764
2009-01-03T00:00:00,PGTM,1128,",,W,",GHCND:USW00014764
2009-01-03T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-03T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-03T00:00:00,SNWD,0,"T,,0,",GHCND:USW00014764
2009-01-03T00:00:00,TMAX,-6,",,0,2400",GHCND:USW00014764
2009-01-03T00:00:00,TMIN,-100,",,0,2400",GHCND:USW00014764
2009-01-03T00:00:00,WDF2,300,",,X,",GHCND:USW00014764
2009-01-03T00:00:00,WDF5,310,",,X,",GHCND:USW00014764
2009-01-03T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-03T00:00:00,WSF2,112,",,X,",GHCND:USW00014764
2009-01-03T00:00:00,WSF5,143,",,X,",GHCND:USW00014764
2009-01-04T00:00:00,AWND,22,",,W,",GHCND:USW00014764
2009-01-04T00:00:00,FMTM,1321,",,X,",GHCND:USW00014764
2009-01-04T00:00:00,PGTM,1240,",,W,",GHCND:USW00014764
2009-01-04T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-04T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-04T00:00:00,SNWD,0,"T,,0,",GHCND:USW00014764
2009-01-04T00:00:00,TMAX,17,",,0,2400",GHCND:USW00014764
2009-01-04T00:00:00,TMIN,-106,",,0,2400",GHCND:USW00014764
2009-01-04T00:00:00,WDF2,330,",,X,",GHCND:USW00014764
2009-01-04T00:00:00,WDF5,330,",,X,",GHCND:USW00014764
2009-01-04T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-04T00:00:00,WSF2,94,",,X,",GHCND:USW00014764
2009-01-04T00:00:00,WSF5,116,",,X,",GHCND:USW00014764
2009-01-05T00:00:00,AWND,18,",,W,",GHCND:USW00014764
2009-01-05T00:00:00,FMTM,2349,",,X,",GHCND:USW00014764
2009-01-05T00:00:00,PGTM,2323,",,W,",GHCND:USW00014764
2009-01-05T00:00:00,PRCP,3,",,0,2400",GHCND:USW00014764
2009-01-05T00:00:00,SNOW,0,"T,,0,",GHCND:USW00014764
2009-01-05T00:00:00,SNWD,0,"T,,0,",GHCND:USW00014764
2009-01-05T00:00:00,TMAX,33,",,0,2400",GHCND:USW00014764
2009-01-05T00:00:00,TMIN,-72,",,0,2400",GHCND:USW00014764
2009-01-05T00:00:00,WDF2,250,",,X,",GHCND:USW00014764
2009-01-05T00:00:00,WDF5,260,",,X,",GHCND:USW00014764
2009-01-05T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-05T00:00:00,WSF2,45,",,X,",GHCND:USW00014764
2009-01-05T00:00:00,WSF5,67,",,X,",GHCND:USW00014764
2009-01-05T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-05T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-06T00:00:00,AWND,27,",,W,",GHCND:USW00014764
2009-01-06T00:00:00,FMTM,1516,",,X,",GHCND:USW00014764
2009-01-06T00:00:00,PGTM,1411,",,W,",GHCND:USW00014764
2009-01-06T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-06T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-06T00:00:00,SNWD,0,"T,,0,",GHCND:USW00014764
2009-01-06T00:00:00,TMAX,6,",,0,2400",GHCND:USW00014764
2009-01-06T00:00:00,TMIN,-72,",,0,2400",GHCND:USW00014764
2009-01-06T00:00:00,WDF2,260,",,X,",GHCND:USW00014764
2009-01-06T00:00:00,WDF5,240,",,X,",GHCND:USW00014764
2009-01-06T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-06T00:00:00,WSF2,63,",,X,",GHCND:USW00014764
2009-01-06T00:00:00,WSF5,89,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,AWND,51,",,W,",GHCND:USW00014764
2009-01-07T00:00:00,FMTM,1647,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,PGTM,1647,",,W,",GHCND:USW00014764
2009-01-07T00:00:00,PRCP,119,",,0,2400",GHCND:USW00014764
2009-01-07T00:00:00,SNOW,66,",,0,",GHCND:USW00014764
2009-01-07T00:00:00,SNWD,25,",,0,",GHCND:USW00014764
2009-01-07T00:00:00,TMAX,-11,",,0,2400",GHCND:USW00014764
2009-01-07T00:00:00,TMIN,-72,",,0,2400",GHCND:USW00014764
2009-01-07T00:00:00,WDF2,60,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,WDF5,60,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-07T00:00:00,WSF2,103,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,WSF5,139,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-07T00:00:00,WT02,1,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,WT04,1,",,X,",GHCND:USW00014764
2009-01-07T00:00:00,WT05,1,",,0,",GHCND:USW00014764
2009-01-07T00:00:00,WT09,1,",,0,",GHCND:USW00014764
2009-01-07T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-07T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-08T00:00:00,AWND,51,",,W,",GHCND:USW00014764
2009-01-08T00:00:00,FMTM,1357,",,X,",GHCND:USW00014764
2009-01-08T00:00:00,PGTM,1356,",,W,",GHCND:USW00014764
2009-01-08T00:00:00,PRCP,8,",,0,2400",GHCND:USW00014764
2009-01-08T00:00:00,SNOW,8,",,0,",GHCND:USW00014764
2009-01-08T00:00:00,SNWD,76,",,0,",GHCND:USW00014764
2009-01-08T00:00:00,TMAX,39,",,0,2400",GHCND:USW00014764
2009-01-08T00:00:00,TMIN,-72,",,0,2400",GHCND:USW00014764
2009-01-08T00:00:00,WDF2,250,",,X,",GHCND:USW00014764
2009-01-08T00:00:00,WDF5,250,",,X,",GHCND:USW00014764
2009-01-08T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-08T00:00:00,WSF2,112,",,X,",GHCND:USW00014764
2009-01-08T00:00:00,WSF5,156,",,X,",GHCND:USW00014764
2009-01-08T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-08T00:00:00,WT13,1,",,X,",GHCND:USW00014764
2009-01-08T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-08T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-09T00:00:00,AWND,34,",,W,",GHCND:USW00014764
2009-01-09T00:00:00,FMTM,1426,",,X,",GHCND:USW00014764
2009-01-09T00:00:00,PGTM,1425,",,W,",GHCND:USW00014764
2009-01-09T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-09T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-09T00:00:00,SNWD,25,",,0,",GHCND:USW00014764
2009-01-09T00:00:00,TMAX,-33,",,0,2400",GHCND:USW00014764
2009-01-09T00:00:00,TMIN,-117,",,0,2400",GHCND:USW00014764
2009-01-09T00:00:00,WDF2,300,",,X,",GHCND:USW00014764
2009-01-09T00:00:00,WDF5,300,",,X,",GHCND:USW00014764
2009-01-09T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-09T00:00:00,WSF2,89,",,X,",GHCND:USW00014764
2009-01-09T00:00:00,WSF5,107,",,X,",GHCND:USW00014764
2009-01-10T00:00:00,AWND,16,",,W,",GHCND:USW00014764
2009-01-10T00:00:00,FMTM,2354,",,X,",GHCND:USW00014764
2009-01-10T00:00:00,PGTM,2353,",,W,",GHCND:USW00014764
2009-01-10T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-10T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-10T00:00:00,SNWD,25,",,0,",GHCND:USW00014764
2009-01-10T00:00:00,TMAX,-28,",,0,2400",GHCND:USW00014764
2009-01-10T00:00:00,TMIN,-150,",,0,2400",GHCND:USW00014764
2009-01-10T00:00:00,WDF2,30,",,X,",GHCND:USW00014764
2009-01-10T00:00:00,WDF5,30,",,X,",GHCND:USW00014764
2009-01-10T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-10T00:00:00,WSF2,40,",,X,",GHCND:USW00014764
2009-01-10T00:00:00,WSF5,54,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,AWND,42,",,W,",GHCND:USW00014764
2009-01-11T00:00:00,FMTM,1233,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,PGTM,1232,",,W,",GHCND:USW00014764
2009-01-11T00:00:00,PRCP,46,",,0,2400",GHCND:USW00014764
2009-01-11T00:00:00,SNOW,137,",,0,",GHCND:USW00014764
2009-01-11T00:00:00,SNWD,25,",,0,",GHCND:USW00014764
2009-01-11T00:00:00,TMAX,-56,",,0,2400",GHCND:USW00014764
2009-01-11T00:00:00,TMIN,-144,",,0,2400",GHCND:USW00014764
2009-01-11T00:00:00,WDF2,10,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,WDF5,20,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-11T00:00:00,WSF2,94,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,WSF5,125,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-11T00:00:00,WT07,1,",,0,",GHCND:USW00014764
2009-01-11T00:00:00,WT08,1,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-11T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,WT19,1,",,X,",GHCND:USW00014764
2009-01-11T00:00:00,WT22,1,",,X,",GHCND:USW00014764
2009-01-12T00:00:00,AWND,14,",,W,",GHCND:USW00014764
2009-01-12T00:00:00,FMTM,1311,",,X,",GHCND:USW00014764
2009-01-12T00:00:00,PGTM,1308,",,W,",GHCND:USW00014764
2009-01-12T00:00:00,PRCP,5,",,0,2400",GHCND:USW00014764
2009-01-12T00:00:00,SNOW,8,",,0,",GHCND:USW00014764
2009-01-12T00:00:00,SNWD,152,",,0,",GHCND:USW00014764
2009-01-12T00:00:00,TMAX,-44,",,0,2400",GHCND:USW00014764
2009-01-12T00:00:00,TMIN,-156,",,0,2400",GHCND:USW00014764
2009-01-12T00:00:00,WDF2,300,",,X,",GHCND:USW00014764
2009-01-12T00:00:00,WDF5,300,",,X,",GHCND:USW00014764
2009-01-12T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-12T00:00:00,WSF2,45,",,X,",GHCND:USW00014764
2009-01-12T00:00:00,WSF5,58,",,X,",GHCND:USW00014764
2009-01-12T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-12T00:00:00,WT13,1,",,X,",GHCND:USW00014764
2009-01-12T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-12T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-13T00:00:00,AWND,24,",,W,",GHCND:USW00014764
2009-01-13T00:00:00,FMTM,1858,",,X,",GHCND:USW00014764
2009-01-13T00:00:00,PGTM,1849,",,W,",GHCND:USW00014764
2009-01-13T00:00:00,PRCP,3,",,0,2400",GHCND:USW00014764
2009-01-13T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-13T00:00:00,SNWD,127,",,0,",GHCND:USW00014764
2009-01-13T00:00:00,TMAX,28,",,0,2400",GHCND:USW00014764
2009-01-13T00:00:00,TMIN,-150,",,0,2400",GHCND:USW00014764
2009-01-13T00:00:00,WDF2,190,",,X,",GHCND:USW00014764
2009-01-13T00:00:00,WDF5,200,",,X,",GHCND:USW00014764
2009-01-13T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-13T00:00:00,WSF2,63,",,X,",GHCND:USW00014764
2009-01-13T00:00:00,WSF5,94,",,X,",GHCND:USW00014764
2009-01-13T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-13T00:00:00,WT05,1,",,0,",GHCND:USW00014764
2009-01-13T00:00:00,WT16,1,",,X,",GHCND:USW00014764
2009-01-14T00:00:00,AWND,44,",,W,",GHCND:USW00014764
2009-01-14T00:00:00,FMTM,721,",,X,",GHCND:USW00014764
2009-01-14T00:00:00,PGTM,719,",,W,",GHCND:USW00014764
2009-01-14T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-14T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-14T00:00:00,SNWD,102,",,0,",GHCND:USW00014764
2009-01-14T00:00:00,TMAX,22,",,0,2400",GHCND:USW00014764
2009-01-14T00:00:00,TMIN,-156,",,0,2400",GHCND:USW00014764
2009-01-14T00:00:00,WDF2,300,",,X,",GHCND:USW00014764
2009-01-14T00:00:00,WDF5,290,",,X,",GHCND:USW00014764
2009-01-14T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-14T00:00:00,WSF2,134,",,X,",GHCND:USW00014764
2009-01-14T00:00:00,WSF5,165,",,X,",GHCND:USW00014764
2009-01-15T00:00:00,AWND,16,",,W,",GHCND:USW00014764
2009-01-15T00:00:00,FMTM,813,",,X,",GHCND:USW00014764
2009-01-15T00:00:00,PGTM,813,",,W,",GHCND:USW00014764
2009-01-15T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-15T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-15T00:00:00,SNWD,102,",,0,",GHCND:USW00014764
2009-01-15T00:00:00,TMAX,-100,",,0,2400",GHCND:USW00014764
2009-01-15T00:00:00,TMIN,-206,",,0,2400",GHCND:USW00014764
2009-01-15T00:00:00,WDF2,360,",,X,",GHCND:USW00014764
2009-01-15T00:00:00,WDF5,10,",,X,",GHCND:USW00014764
2009-01-15T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-15T00:00:00,WSF2,45,",,X,",GHCND:USW00014764
2009-01-15T00:00:00,WSF5,58,",,X,",GHCND:USW00014764
2009-01-16T00:00:00,AWND,25,",,W,",GHCND:USW00014764
2009-01-16T00:00:00,FMTM,1221,",,X,",GHCND:USW00014764
2009-01-16T00:00:00,PGTM,1355,",,W,",GHCND:USW00014764
2009-01-16T00:00:00,PRCP,0,"T,,0,2400",GHCND:USW00014764
2009-01-16T00:00:00,SNOW,0,"T,,0,",GHCND:USW00014764
2009-01-16T00:00:00,SNWD,76,",,0,",GHCND:USW00014764
2009-01-16T00:00:00,TMAX,-100,",,0,2400",GHCND:USW00014764
2009-01-16T00:00:00,TMIN,-267,",,0,2400",GHCND:USW00014764
2009-01-16T00:00:00,WDF2,280,",,X,",GHCND:USW00014764
2009-01-16T00:00:00,WDF5,280,",,X,",GHCND:USW00014764
2009-01-16T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-16T00:00:00,WSF2,89,",,X,",GHCND:USW00014764
2009-01-16T00:00:00,WSF5,112,",,X,",GHCND:USW00014764
2009-01-16T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-16T00:00:00,WT07,1,",,0,",GHCND:USW00014764
2009-01-16T00:00:00,WT08,1,",,X,",GHCND:USW00014764
2009-01-16T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-17T00:00:00,AWND,26,",,W,",GHCND:USW00014764
2009-01-17T00:00:00,FMTM,1246,",,X,",GHCND:USW00014764
2009-01-17T00:00:00,PGTM,1225,",,W,",GHCND:USW00014764
2009-01-17T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-17T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-17T00:00:00,SNWD,76,",,0,",GHCND:USW00014764
2009-01-17T00:00:00,TMAX,-72,",,0,2400",GHCND:USW00014764
2009-01-17T00:00:00,TMIN,-183,",,0,2400",GHCND:USW00014764
2009-01-17T00:00:00,WDF2,230,",,X,",GHCND:USW00014764
2009-01-17T00:00:00,WDF5,250,",,X,",GHCND:USW00014764
2009-01-17T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-17T00:00:00,WSF2,67,",,X,",GHCND:USW00014764
2009-01-17T00:00:00,WSF5,89,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,AWND,28,",,W,",GHCND:USW00014764
2009-01-18T00:00:00,FMTM,1043,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,PGTM,1043,",,W,",GHCND:USW00014764
2009-01-18T00:00:00,PRCP,152,",,0,2400",GHCND:USW00014764
2009-01-18T00:00:00,SNOW,292,",,0,",GHCND:USW00014764
2009-01-18T00:00:00,SNWD,102,",,0,",GHCND:USW00014764
2009-01-18T00:00:00,TMAX,-67,",,0,2400",GHCND:USW00014764
2009-01-18T00:00:00,TMIN,-106,",,0,2400",GHCND:USW00014764
2009-01-18T00:00:00,WDF2,340,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,WDF5,340,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,WESD,0,",,0,",GHCND:USW00014764
2009-01-18T00:00:00,WSF2,63,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,WSF5,76,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-18T00:00:00,WT02,1,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,WT09,1,",,0,",GHCND:USW00014764
2009-01-18T00:00:00,WT13,1,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-18T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-18T00:00:00,WT22,1,",,X,",GHCND:USW00014764
2009-01-19T00:00:00,AWND,17,",,W,",GHCND:USW00014764
2009-01-19T00:00:00,FMTM,505,",,X,",GHCND:USW00014764
2009-01-19T00:00:00,PGTM,42,",,W,",GHCND:USW00014764
2009-01-19T00:00:00,PRCP,30,",,0,2400",GHCND:USW00014764
2009-01-19T00:00:00,SNOW,41,",,0,",GHCND:USW00014764
2009-01-19T00:00:00,SNWD,381,",,0,",GHCND:USW00014764
2009-01-19T00:00:00,TMAX,-17,",,0,2400",GHCND:USW00014764
2009-01-19T00:00:00,TMIN,-100,",,0,2400",GHCND:USW00014764
2009-01-19T00:00:00,WDF2,310,",,X,",GHCND:USW00014764
2009-01-19T00:00:00,WDF5,30,",,X,",GHCND:USW00014764
2009-01-19T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-19T00:00:00,WSF2,40,",,X,",GHCND:USW00014764
2009-01-19T00:00:00,WSF5,58,",,X,",GHCND:USW00014764
2009-01-19T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-19T00:00:00,WT13,1,",,X,",GHCND:USW00014764
2009-01-19T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-19T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-20T00:00:00,AWND,26,",,W,",GHCND:USW00014764
2009-01-20T00:00:00,FMTM,2150,",,X,",GHCND:USW00014764
2009-01-20T00:00:00,PGTM,1838,",,W,",GHCND:USW00014764
2009-01-20T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-20T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-20T00:00:00,SNWD,330,",,0,",GHCND:USW00014764
2009-01-20T00:00:00,TMAX,-11,",,0,2400",GHCND:USW00014764
2009-01-20T00:00:00,TMIN,-117,",,0,2400",GHCND:USW00014764
2009-01-20T00:00:00,WDF2,350,",,X,",GHCND:USW00014764
2009-01-20T00:00:00,WDF5,30,",,X,",GHCND:USW00014764
2009-01-20T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-20T00:00:00,WSF2,58,",,X,",GHCND:USW00014764
2009-01-20T00:00:00,WSF5,80,",,X,",GHCND:USW00014764
2009-01-20T00:00:00,WT01,1,",,W,",GHCND:USW00014764
2009-01-20T00:00:00,WT13,1,",,X,",GHCND:USW00014764
2009-01-21T00:00:00,AWND,19,",,W,",GHCND:USW00014764
2009-01-21T00:00:00,FMTM,1406,",,X,",GHCND:USW00014764
2009-01-21T00:00:00,PGTM,1758,",,W,",GHCND:USW00014764
2009-01-21T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-21T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-21T00:00:00,SNWD,305,",,0,",GHCND:USW00014764
2009-01-21T00:00:00,TMAX,-44,",,0,2400",GHCND:USW00014764
2009-01-21T00:00:00,TMIN,-144,",,0,2400",GHCND:USW00014764
2009-01-21T00:00:00,WDF2,280,",,X,",GHCND:USW00014764
2009-01-21T00:00:00,WDF5,250,",,X,",GHCND:USW00014764
2009-01-21T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-21T00:00:00,WSF2,45,",,X,",GHCND:USW00014764
2009-01-21T00:00:00,WSF5,63,",,X,",GHCND:USW00014764
2009-01-22T00:00:00,AWND,39,",,W,",GHCND:USW00014764
2009-01-22T00:00:00,FMTM,1242,",,X,",GHCND:USW00014764
2009-01-22T00:00:00,PGTM,926,",,W,",GHCND:USW00014764
2009-01-22T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-22T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-22T00:00:00,SNWD,305,",,0,",GHCND:USW00014764
2009-01-22T00:00:00,TMAX,11,",,0,2400",GHCND:USW00014764
2009-01-22T00:00:00,TMIN,-128,",,0,2400",GHCND:USW00014764
2009-01-22T00:00:00,WDF2,250,",,X,",GHCND:USW00014764
2009-01-22T00:00:00,WDF5,250,",,X,",GHCND:USW00014764
2009-01-22T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-22T00:00:00,WSF2,94,",,X,",GHCND:USW00014764
2009-01-22T00:00:00,WSF5,116,",,X,",GHCND:USW00014764
2009-01-23T00:00:00,AWND,21,",,W,",GHCND:USW00014764
2009-01-23T00:00:00,FMTM,1142,",,X,",GHCND:USW00014764
2009-01-23T00:00:00,PGTM,1225,",,W,",GHCND:USW00014764
2009-01-23T00:00:00,PRCP,0,"T,,0,2400",GHCND:USW00014764
2009-01-23T00:00:00,SNOW,0,"T,,0,",GHCND:USW00014764
2009-01-23T00:00:00,SNWD,279,",,0,",GHCND:USW00014764
2009-01-23T00:00:00,TMAX,-17,",,0,2400",GHCND:USW00014764
2009-01-23T00:00:00,TMIN,-94,",,0,2400",GHCND:USW00014764
2009-01-23T00:00:00,WDF2,80,",,X,",GHCND:USW00014764
2009-01-23T00:00:00,WDF5,40,",,X,",GHCND:USW00014764
2009-01-23T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-23T00:00:00,WSF2,67,",,X,",GHCND:USW00014764
2009-01-23T00:00:00,WSF5,80,",,X,",GHCND:USW00014764
2009-01-23T00:00:00,WT16,1,",,0,",GHCND:USW00014764
2009-01-23T00:00:00,WT18,1,",,X,",GHCND:USW00014764
2009-01-24T00:00:00,AWND,46,",,W,",GHCND:USW00014764
2009-01-24T00:00:00,FMTM,1006,",,X,",GHCND:USW00014764
2009-01-24T00:00:00,PGTM,948,",,W,",GHCND:USW00014764
2009-01-24T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-24T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
2009-01-24T00:00:00,SNWD,279,",,0,",GHCND:USW00014764
2009-01-24T00:00:00,TMAX,-6,",,0,2400",GHCND:USW00014764
2009-01-24T00:00:00,TMIN,-178,",,0,2400",GHCND:USW00014764
2009-01-24T00:00:00,WDF2,280,",,X,",GHCND:USW00014764
2009-01-24T00:00:00,WDF5,290,",,X,",GHCND:USW00014764
2009-01-24T00:00:00,WESD,0,",I,0,",GHCND:USW00014764
2009-01-24T00:00:00,WSF2,125,",,X,",GHCND:USW00014764
2009-01-24T00:00:00,WSF5,174,",,X,",GHCND:USW00014764
2009-01-25T00:00:00,AWND,29,",,W,",GHCND:USW00014764
2009-01-25T00:00:00,FMTM,1327,",,X,",GHCND:USW00014764
2009-01-25T00:00:00,PGTM,1354,",,W,",GHCND:USW00014764
2009-01-25T00:00:00,PRCP,0,",,0,2400",GHCND:USW00014764
2009-01-25T00:00:00,SNOW,0,",,0,",GHCND:USW00014764
